User-ID,Location,Age
99, usa,42
114, usa,57
165, usa,62
243, usa,37
244, usa,37
254, usa,24
383, usa,37
388, usa,35
424, usa,29
446, usa,37
476, usa,37
486, usa,31
487, usa,37
503, usa,40
505, usa,51
507, usa,37
595, usa,17
638, usa,20
643, france,23
651, usa,26
709, usa,14
735, usa,29
741, usa,16
805, usa,34
819, usa,37
834, usa,17
843, usa,25
882, usa,23
901, united kingdom,21
929,Global,36
1025, united kingdom,33
1075, usa,49
1116, canada,29
1129, usa,53
1131,Global,22
1155, usa,22
1167, usa,25
1184, usa,38
1211, france,22
1343, united kingdom,33
1409, usa,74
1412, usa,47
1424, australia,33
1435, usa,36
1436, canada,36
1548, usa,28
1585, usa,29
1596, usa,51
1608, usa,27
1652, usa,37
1660, usa,37
1674, usa,26
1733, usa,30
1812, usa,24
1848, usa,22
1903, taiwan,36
1928, usa,17
2010, usa,37
2012,Global,34
2030, usa,31
2033, usa,27
2041, usa,37
2090, usa,28
2110, usa,37
2132, usa,37
2139, usa,33
2179, usa,30
2276, usa,46
2287, usa,35
2288, usa,30
2313, usa,23
2326, portugal,23
2337, usa,34
2358, usa,23
2375, usa,20
2559, usa,37
2589, usa,37
2719, usa,37
2766, usa,42
2790, usa,50
2793, usa,34
2799, usa,37
2855, usa,35
2891, usa,37
2907, usa,37
2977, usa,25
3100, usa,42
3145, usa,34
3167, usa,42
3282, canada,52
3329, usa,37
3331, usa,60
3344, usa,61
3346, iran,20
3350, usa,23
3363, usa,29
3371, usa,25
3373, usa,30
3374, canada,47
3416, germany,34
3427, usa,50
3542, usa,37
3556, usa,68
3578, canada,25
3594, new zealand,48
3640, usa,37
3675, spain,24
3719, usa,18
3761, usa,37
3775, usa,57
3814, usa,37
3817, usa,29
3827, usa,23
3840, usa,46
3917, canada,25
3923,Global,38
3977, usa,63
4017, usa,48
4066, usa,31
4091, usa,77
4092, usa,27
4098, hong kong,30
4114, germany,31
4131, united kingdom,51
4144, canada,31
4149, usa,37
4157, usa,39
4197, usa,61
4221, usa,37
4223, germany,28
4228, usa,41
4334, italy,38
4365, canada,19
4385, usa,33
4541, usa,32
4571, australia,23
4622, usa,18
4785, usa,30
4795, usa,18
4802, united kingdom,28
4809, usa,37
4845,Global,38
4864, usa,30
4896, romania,18
4938, usa,30
5037, usa,26
5207, usa,34
5268, usa,37
5286, usa,18
5287, canada,22
5331, united kingdom,26
5350, germany,20
5385, usa,30
5439, usa,66
5452, usa,26
5476,Global,38
5483, malaysia,20
5499,Global,60
5539, usa,32
5543, usa,29
5582, usa,26
5585, usa,39
5609, romania,25
5638, usa,37
5665, usa,40
5709, malaysia,15
5728, usa,22
5737, usa,44
5741, usa,20
5746, usa,37
5783, usa,32
5815, usa,37
5850,Global,38
5899, germany,25
5903, austria,25
5963, usa,38
6007, canada,36
6051, usa,33
6073, usa,28
6092, united kingdom,33
6102, usa,28
6115, usa,37
6238, united kingdom,38
6242, canada,36
6251, usa,32
6318, usa,24
6323, usa,35
6333, usa,45
6345, usa,29
6368, usa,26
6401, usa,37
6431, usa,30
6432, canada,21
6492, canada,35
6501, usa,25
6505, usa,56
6532, canada,36
6537,Global,28
6543, usa,34
6563, usa,31
6566, usa,37
6575, usa,37
6577, usa,62
6604, usa,48
6611, romania,22
6662, canada,31
6671, usa,54
6679, usa,37
6700, usa,21
6769, usa,56
6772,Global,38
6781, usa,22
6789, usa,37
6840, usa,17
6865, usa,40
6866, france,51
6871, usa,28
6884, usa,25
6900, usa,25
6958, usa,37
7053, usa,29
7056, canada,31
7082, usa,37
7105, united kingdom,33
7125, usa,28
7134, usa,23
7158, usa,30
7210, canada,36
7283, usa,30
7286, usa,28
7312, usa,23
7318, usa,34
7341, usa,37
7346, usa,49
7352, usa,53
7371, canada,26
7384, usa,28
7482, usa,49
7509, usa,37
7528, usa,37
7569, usa,22
7620, usa,21
7809, usa,37
7841, usa,37
7860, usa,37
7864, malaysia,17
7887, usa,23
7890, usa,37
7913, usa,43
7915, usa,37
7958, portugal,27
7962, usa,54
8018,Global,38
8019, canada,36
8066, usa,37
8067, usa,26
8089, usa,37
8094, spain,13
8141, usa,37
8167,Global,39
8187, usa,37
8188, usa,37
8189, usa,24
8234, usa,44
8245, usa,31
8250, usa,34
8253, usa,26
8255, usa,47
8284, usa,28
8313, usa,36
8314, usa,36
8323, usa,48
8362, usa,28
8454, usa,37
8487, usa,30
8529, spain,31
8570, usa,23
8672, usa,17
8680, usa,2
8681, usa,34
8695, usa,37
8734, usa,37
8782, canada,239
8801, usa,24
8839, canada,36
8864, usa,26
8870, usa,45
8872, usa,65
8930, usa,78
8935, usa,35
8936, usa,18
8937,Global,37
8961, usa,28
8971, germany,27
9094, usa,14
9138, usa,37
9139, usa,17
9141, usa,65
9174, usa,37
9177, united kingdom,26
9226, usa,27
9227, usa,24
9302, united kingdom,36
9313, portugal,27
9343, canada,36
9354, usa,30
9357, usa,37
9373, usa,40
9381, united kingdom,33
9408, usa,34
9414, united kingdom,37
9417, canada,26
9454, usa,37
9568, usa,44
9571, germany,27
9574, usa,33
9613, usa,34
9660, usa,35
9718, usa,35
9747, usa,37
9846, usa,45
9856, usa,22
9893, usa,50
9908, usa,36
10001, usa,47
10030, usa,66
10067, england,61
10118, usa,44
10199, australia,17
10241, usa,27
10314, usa,37
10354, usa,15
10447, usa,37
10532, united kingdom,29
10560, usa,27
10590, malaysia,22
10607, usa,60
10619, usa,33
10660, switzerland,37
10668, usa,37
10697, usa,20
10699, canada,36
10819, usa,27
10829, usa,38
10946, canada,36
10949, usa,37
10959, usa,57
10985, united kingdom,38
11104, usa,37
11120, finland,58
11124, usa,30
11201, netherlands,30
11224, usa,51
11245, canada,36
11362, canada,36
11400, canada,49
11451, usa,37
11529, usa,37
11532, usa,37
11601, usa,37
11621, canada,40
11629, usa,21
11638, usa,37
11643, usa,34
11657, usa,25
11676, n/a,25
11687, canada,47
11708,Global,38
11709, usa,29
11718, usa,37
11724, usa,42
11788, usa,30
11795, spain,41
11832, usa,37
11855,Global,38
11916, usa,37
11944, portugal,21
11993, usa,37
12100, philippines,26
12112, usa,40
12123, usa,37
12137, canada,36
12154, usa,41
12194, usa,37
12202, philippines,19
12238, usa,31
12272, romania,18
12316, usa,37
12331, greece,31
12348, usa,23
12390, usa,27
12512, netherlands,34
12515, usa,37
12538, usa,18
12569, malaysia,22
12619, canada,56
12692, usa,151
12698, usa,32
12702, usa,31
12707, canada,37
12734, usa,57
12784, usa,57
12811, usa,37
12824, usa,18
12835, germany,38
12863, united kingdom,29
12917, usa,24
12951, usa,35
12982, spain,41
12990, usa,58
13080, canada,22
13082, usa,37
13093, spain,29
13094, usa,24
13104, usa,25
13126, india,21
13164, usa,33
13221, canada,45
13273, usa,201
13279, usa,37
13331, usa,58
13393, usa,37
13518, usa,27
13551, usa,37
13552, usa,32
13582, portugal,29
13600, greece,31
13604, usa,51
13607, usa,31
13664, usa,37
13666, usa,54
13715, canada,36
13733, usa,37
13850, usa,28
13915, canada,36
13935, usa,36
13968, usa,37
13973, usa,18
13995, australia,33
14049, canada,36
14079, spain,41
14173, canada,36
14180, usa,37
