User-ID,Location,Age
99, usa,42
114, usa,57
243, usa,37
244, usa,37
383, usa,37
388, usa,35
446, usa,37
476, usa,37
486, usa,31
487, usa,37
503, usa,40
505, usa,51
507, usa,37
805, usa,34
819, usa,37
929,Global,36
1025, united kingdom,33
1075, usa,49
1129, usa,53
1184, usa,38
1343, united kingdom,33
1412, usa,47
1424, australia,33
1435, usa,36
1436, canada,36
1596, usa,51
1652, usa,37
1660, usa,37
1903, taiwan,36
2010, usa,37
2012,Global,34
2030, usa,31
2041, usa,37
2110, usa,37
2132, usa,37
2139, usa,33
2276, usa,46
2287, usa,35
2337, usa,34
2559, usa,37
2589, usa,37
2719, usa,37
2766, usa,42
2790, usa,50
2793, usa,34
2799, usa,37
2855, usa,35
2891, usa,37
2907, usa,37
3100, usa,42
3145, usa,34
3167, usa,42
3282, canada,52
3329, usa,37
3331, usa,60
3374, canada,47
3416, germany,34
3427, usa,50
3542, usa,37
3594, new zealand,48
3640, usa,37
3761, usa,37
3775, usa,57
3814, usa,37
3840, usa,46
3923,Global,38
4017, usa,48
4066, usa,31
4114, germany,31
4131, united kingdom,51
4144, canada,31
4149, usa,37
4157, usa,39
4221, usa,37
4228, usa,41
4334, italy,38
4385, usa,33
4541, usa,32
4809, usa,37
4845,Global,38
5207, usa,34
5268, usa,37
5476,Global,38
5499,Global,60
5539, usa,32
5585, usa,39
5638, usa,37
5665, usa,40
5737, usa,44
5746, usa,37
5783, usa,32
5815, usa,37
5850,Global,38
5963, usa,38
6007, canada,36
6051, usa,33
6092, united kingdom,33
6115, usa,37
6238, united kingdom,38
6242, canada,36
6251, usa,32
6323, usa,35
6333, usa,45
6401, usa,37
6492, canada,35
6505, usa,56
6532, canada,36
6543, usa,34
6563, usa,31
6566, usa,37
6575, usa,37
6604, usa,48
6662, canada,31
6671, usa,54
6679, usa,37
6769, usa,56
6772,Global,38
6789, usa,37
6865, usa,40
6866, france,51
6958, usa,37
7056, canada,31
7082, usa,37
7105, united kingdom,33
7210, canada,36
7318, usa,34
7341, usa,37
7346, usa,49
7352, usa,53
7482, usa,49
7509, usa,37
7528, usa,37
7809, usa,37
7841, usa,37
7860, usa,37
7890, usa,37
7913, usa,43
7915, usa,37
7962, usa,54
8018,Global,38
8019, canada,36
8066, usa,37
8089, usa,37
8141, usa,37
8167,Global,39
8187, usa,37
8188, usa,37
8234, usa,44
8245, usa,31
8250, usa,34
8255, usa,47
8313, usa,36
8314, usa,36
8323, usa,48
8454, usa,37
8529, spain,31
8681, usa,34
8695, usa,37
8734, usa,37
8839, canada,36
8870, usa,45
8935, usa,35
8937,Global,37
9138, usa,37
9174, usa,37
9302, united kingdom,36
9343, canada,36
9357, usa,37
9373, usa,40
9381, united kingdom,33
9408, usa,34
9414, united kingdom,37
9454, usa,37
9568, usa,44
9574, usa,33
9613, usa,34
9660, usa,35
9718, usa,35
9747, usa,37
9846, usa,45
9893, usa,50
9908, usa,36
10001, usa,47
10118, usa,44
10314, usa,37
10447, usa,37
10607, usa,60
10619, usa,33
10660, switzerland,37
10668, usa,37
10699, canada,36
10829, usa,38
10946, canada,36
10949, usa,37
10959, usa,57
10985, united kingdom,38
11104, usa,37
11120, finland,58
11224, usa,51
11245, canada,36
11362, canada,36
11400, canada,49
11451, usa,37
11529, usa,37
11532, usa,37
11601, usa,37
11621, canada,40
11638, usa,37
11643, usa,34
11687, canada,47
11708,Global,38
11718, usa,37
11724, usa,42
11795, spain,41
11832, usa,37
11855,Global,38
11916, usa,37
11993, usa,37
12112, usa,40
12123, usa,37
12137, canada,36
12154, usa,41
12194, usa,37
12238, usa,31
12316, usa,37
12331, greece,31
12512, netherlands,34
12515, usa,37
12619, canada,56
12698, usa,32
12702, usa,31
12707, canada,37
12734, usa,57
12784, usa,57
12811, usa,37
12835, germany,38
12951, usa,35
12982, spain,41
12990, usa,58
13082, usa,37
13164, usa,33
13221, canada,45
13279, usa,37
13331, usa,58
13393, usa,37
13551, usa,37
13552, usa,32
13600, greece,31
13604, usa,51
13607, usa,31
13664, usa,37
13666, usa,54
13715, canada,36
13733, usa,37
13915, canada,36
13935, usa,36
13968, usa,37
13995, australia,33
14049, canada,36
14079, spain,41
14173, canada,36
14180, usa,37
14281, usa,37
14326, usa,37
14374, usa,57
14387, united kingdom,35
14393,Global,38
14422, usa,37
14521, usa,37
14638, france,33
14667, usa,37
14698, usa,37
14888, usa,53
15021, usa,37
15144,Global,38
15268, usa,35
15361, usa,39
15367, usa,37
15408, usa,34
15497, usa,38
15563, canada,33
15670, usa,37
15686, canada,36
15819, usa,37
15845, usa,37
15936, usa,59
15945, usa,36
16010, usa,37
16034, usa,37
16036, usa,37
16046, usa,37
16090, usa,37
16106, usa,44
16110, usa,35
16121, usa,37
16130, usa,34
16133, usa,37
16155, malaysia,47
16231, canada,32
16246, japan,32
16263, usa,37
16417, usa,37
16418, usa,37
16452, canada,36
16488, usa,36
16532, usa,44
16545, usa,37
16551, usa,37
16599, usa,33
16601, usa,40
16634, usa,42
16666, usa,37
16721, canada,36
16755, usa,58
16781, usa,37
16795, usa,47
16798, usa,37
16803, usa,37
16805, usa,47
16818, usa,37
16876, usa,37
16877, usa,37
16908, usa,55
16916, usa,53
16943, australia,33
16949, usa,49
16966, canada,41
16982, new zealand,34
16999, usa,48
17003, usa,37
17046, usa,35
17058, usa,35
17159, usa,44
17190, usa,31
17224, united kingdom,33
17233, usa,54
17282, usa,38
17340, usa,37
17353, usa,37
17391, usa,37
17402, usa,37
17507, ireland,37
17589, usa,46
17596, united kingdom,31
17645, usa,37
17667, usa,33
17726, canada,33
17761, usa,37
17859, usa,43
17894, usa,47
17950, malaysia,32
17970, usa,40
17975, usa,37
18067, malaysia,33
18082, usa,38
18096,Global,38
18167, usa,34
18172, usa,36
18176, usa,37
18203, usa,37
18250, usa,31
18311, usa,37
18316, usa,37
18323, usa,41
18384, spain,37
18395, usa,44
18401,Global,38
18439, usa,38
18689, usa,37
18714, usa,31
18758, united kingdom,35
18913, usa,33
18963, usa,37
18979, usa,36
18995, usa,37
19011, new zealand,34
19019,Global,38
19031, usa,58
19085, usa,60
19107, usa,45
19145, usa,37
19206, italy,38
19233, usa,37
19336, usa,37
19362, usa,34
19422, usa,37
19429, usa,37
19493,Global,38
19522, usa,54
19571, usa,37
19605, usa,37
19659,Global,38
19681, usa,44
19711, usa,37
19725, usa,37
19803, usa,37
19842, usa,37
19935, canada,58
19969, usa,44
19972, usa,39
20032, australia,33
20034, switzerland,33
20060, usa,48
20106, usa,31
20115, usa,32
20119,Global,51
20120, usa,51
20126, usa,44
20147, usa,37
20149, usa,53
20150,Global,38
20180, usa,36
20201, usa,31
20245, usa,37
20250, usa,36
20336, usa,32
20347, france,45
20388, usa,40
20409, usa,51
20410, usa,37
20448, usa,37
20462, usa,37
20484, usa,37
20561, usa,40
20605, usa,37
20622, canada,36
20627, usa,37
20629, usa,37
20680, usa,41
20703, usa,37
20794, usa,31
20804, usa,56
20866, usa,37
20946, canada,36
20961, canada,47
20995, usa,58
21011, usa,44
21014, usa,37
21031, usa,36
21049, usa,55
21188,Global,38
21207, usa,42
21229, canada,36
