User-ID,Location,Age
254, usa,24
424, usa,29
595, usa,17
638, usa,20
643, france,23
651, usa,26
709, usa,14
735, usa,29
741, usa,16
834, usa,17
843, usa,25
882, usa,23
901, united kingdom,21
1116, canada,29
1131,Global,22
1155, usa,22
1167, usa,25
1211, france,22
1548, usa,28
1585, usa,29
1608, usa,27
1674, usa,26
1733, usa,30
1812, usa,24
1848, usa,22
1928, usa,17
2033, usa,27
2090, usa,28
2179, usa,30
2288, usa,30
2313, usa,23
2326, portugal,23
2358, usa,23
2375, usa,20
2977, usa,25
3346, iran,20
3350, usa,23
3363, usa,29
3371, usa,25
3373, usa,30
3578, canada,25
3675, spain,24
3719, usa,18
3817, usa,29
3827, usa,23
3917, canada,25
4092, usa,27
4098, hong kong,30
4223, germany,28
4365, canada,19
4571, australia,23
4622, usa,18
4785, usa,30
4795, usa,18
4802, united kingdom,28
4864, usa,30
4896, romania,18
4938, usa,30
5037, usa,26
5286, usa,18
5287, canada,22
5331, united kingdom,26
5350, germany,20
5385, usa,30
5452, usa,26
5483, malaysia,20
5543, usa,29
5582, usa,26
5609, romania,25
5709, malaysia,15
5728, usa,22
5741, usa,20
5899, germany,25
5903, austria,25
6073, usa,28
6102, usa,28
6318, usa,24
6345, usa,29
6368, usa,26
6431, usa,30
6432, canada,21
6501, usa,25
6537,Global,28
6611, romania,22
6700, usa,21
6781, usa,22
6840, usa,17
6871, usa,28
6884, usa,25
6900, usa,25
7053, usa,29
7125, usa,28
7134, usa,23
7158, usa,30
7283, usa,30
7286, usa,28
7312, usa,23
7371, canada,26
7384, usa,28
7569, usa,22
7620, usa,21
7864, malaysia,17
7887, usa,23
7958, portugal,27
8067, usa,26
8094, spain,13
8189, usa,24
8253, usa,26
8284, usa,28
8362, usa,28
8487, usa,30
8570, usa,23
8672, usa,17
8680, usa,2
8801, usa,24
8864, usa,26
8936, usa,18
8961, usa,28
8971, germany,27
9094, usa,14
9139, usa,17
9177, united kingdom,26
9226, usa,27
9227, usa,24
9313, portugal,27
9354, usa,30
9417, canada,26
9571, germany,27
9856, usa,22
10199, australia,17
10241, usa,27
10354, usa,15
10532, united kingdom,29
10560, usa,27
10590, malaysia,22
10697, usa,20
10819, usa,27
11124, usa,30
11201, netherlands,30
11629, usa,21
11657, usa,25
11676, n/a,25
11709, usa,29
11788, usa,30
11944, portugal,21
12100, philippines,26
12202, philippines,19
12272, romania,18
12348, usa,23
12390, usa,27
12538, usa,18
12569, malaysia,22
12824, usa,18
12863, united kingdom,29
12917, usa,24
13080, canada,22
13093, spain,29
13094, usa,24
13104, usa,25
13126, india,21
13518, usa,27
13582, portugal,29
13850, usa,28
13973, usa,18
14230, usa,30
14232, france,23
14336, usa,28
14423, usa,28
14451, portugal,26
14456, canada,27
14683, canada,30
14744, usa,27
14768, usa,24
14897, japan,24
15046, canada,25
15049, usa,28
15076, usa,23
15081, usa,25
15213, usa,23
15418, spain,23
15589, france,29
15602, usa,21
15651, usa,23
15834, usa,15
15918, united kingdom,23
15957, australia,27
16009, usa,25
16161, australia,28
16220, italy,30
16383, united kingdom,24
16504, malaysia,28
16510, usa,28
16718, usa,29
16777, usa,30
16835, usa,28
16871, usa,26
16996, usa,23
17183, spain,23
17703, usa,28
17842, usa,21
18012, iceland,24
18095, usa,30
18155, australia,26
18702, usa,24
18850, germany,28
19018,Global,25
19664, usa,19
19760, usa,23
19974, united kingdom,30
20005, usa,22
20172, usa,27
20265, usa,29
20345, canada,22
20418, usa,21
20501, germany,30
20971, usa,20
21252, usa,28
21368, united kingdom,30
21484, usa,21
21618, usa,24
21774, italy,21
21912, united kingdom,0
21930, usa,28
22089, usa,25
22495, usa,29
22503, usa,18
22521, usa,18
22624, usa,28
22695, usa,23
22818, usa,28
22885, united kingdom,30
22936, usa,23
22964,Global,25
22975, usa,30
23020, usa,28
23038, usa,27
23065, usa,26
23124, italy,22
23547, usa,26
23699, usa,25
23703, usa,27
23872, usa,22
24194, usa,20
24325, australia,26
24379, usa,25
24525, usa,28
24921, usa,29
24945, germany,22
25103, usa,29
25178, usa,28
25436, france,30
25792, canada,29
26057, canada,18
26070, usa,14
26084, usa,21
26145, usa,24
26182, usa,30
26196, usa,17
26418, usa,29
26664, australia,15
26730, usa,13
26813, italy,28
26883, austria,28
27091, usa,21
27193, usa,29
27204, usa,18
27313, usa,14
27317, usa,25
27647, portugal,27
27821, usa,25
27891, usa,27
27947, usa,28
27964, canada,30
28076, usa,25
28150, usa,25
28177, usa,26
28222, usa,23
28255,Global,23
28360, usa,15
28523, usa,24
28537, germany,29
28543,Global,28
28594, canada,18
28634, usa,28
28667, usa,26
28731, usa,29
29028, usa,28
29526, usa,26
29570, slovenia,24
29743, usa,22
29795,Global,27
30072, usa,11
30081, usa,25
30125, usa,15
30131, usa,25
30210, usa,27
30261, usa,27
30273, usa,25
30445,Global,23
30495, usa,19
30531, usa,23
30555, usa,22
30594, usa,25
30667, usa,24
30716, usa,23
30795, usa,24
30806, canada,24
31008, united kingdom,29
31080, usa,26
31082, saint lucia,25
31229, portugal,27
31466, canada,26
31900, usa,12
32122, usa,24
32244, usa,30
32250, canada,29
32329, usa,30
32444, canada,22
32483, spain,18
32569, canada,19
32599, usa,17
32641, usa,23
32678, netherlands,24
32694, usa,19
32773, usa,28
32793, canada,22
33179, antarctica,25
33281, usa,20
33283, canada,26
33307, spain,29
33319, canada,24
33432, usa,24
33461, usa,21
33487, australia,26
33576, usa,29
33580, usa,27
33818, canada,29
33943, france,25
33974, usa,24
33980, usa,18
34075, usa,25
34215, australia,28
34397, usa,25
34539, usa,29
34752, usa,26
34798, usa,26
35030, usa,26
35081, usa,16
35148, usa,24
35320, australia,24
35424, usa,22
35841, canada,27
35925, usa,22
35998, usa,25
36003, malaysia,26
36043, usa,30
36288, usa,27
36441, usa,20
36562, usa,23
36568,Global,1
36635, usa,30
36677, usa,28
36741, canada,24
36801, usa,24
36807, usa,27
36817, usa,29
37083, usa,29
37208, usa,30
37227, usa,27
37235, portugal,22
37400, usa,27
37454, usa,24
37511, usa,25
37512, usa,27
37527, france,30
37538, malaysia,24
37605, usa,30
37644, usa,18
37691, finland,26
37712, usa,23
38023, usa,30
38034, usa,26
38074, mexico,19
38091, usa,28
38229, usa,23
38482, usa,30
38654, canada,17
38762, usa,29
38763, usa,23
38802, finland,23
38818, united kingdom,28
38950, germany,26
39077, usa,29
39353, canada,11
39396, germany,20
39441, usa,26
39705, usa,25
39974, israel,26
40435, usa,24
40612, usa,25
40748, canada,29
40885, usa,26
40914, usa,28
40958, canada,26
41058, usa,25
41103, malaysia,24
41111, usa,25
41911, romania,19
42024, usa,25
42025, finland,29
42162, usa,18
42180, usa,30
42274, usa,26
42372, usa,21
42408, usa,20
42482, usa,27
42611, usa,26
42730, usa,25
42780, usa,21
42798, usa,15
42803, usa,22
42852, usa,24
42887, usa,30
42914, usa,26
43006, usa,29
43093, usa,22
43157, canada,22
43163, usa,21
43436, usa,29
43595, usa,23
43619, usa,26
43687, usa,27
43852, usa,27
43898, usa,27
43909, singapore,27
43920, usa,29
43962, australia,23
44252, usa,28
44296, australia,26
44297, new zealand,22
44467, usa,29
44472, canada,14
44535, usa,20
44590, usa,30
44611, usa,20
44663, malaysia,24
44743, usa,29
44845, usa,29
45014, israel,25
45193, usa,17
45391, usa,23
45584, canada,29
45641,Global,2
46003, usa,27
46099, canada,19
46197, finland,26
46269, brazil,26
46351, france,27
46404, canada,20
46443, usa,14
46690, switzerland,27
47279, usa,29
47465, south korea,23
47512, italy,28
47605, canada,27
47996, usa,27
48037, usa,16
48268, austria,18
48579, usa,24
48595, usa,23
49155,Global,26
49204, usa,14
49262, usa,26
49392, usa,28
49423, usa,26
49646, usa,14
49683, usa,23
49753, usa,14
49827, usa,28
49980, usa,27
50064, usa,25
50143, sweden,16
50193, canada,27
50526, usa,30
50714, usa,14
50859, usa,26
51071, usa,30
51082, usa,30
51100, usa,25
51511, usa,25
51627, usa,24
52021, usa,27
52256, usa,17
52586, united kingdom,26
53174, usa,29
53256, usa,21
53365, usa,29
53408, usa,22
53418, usa,28
53430, usa,25
53575, usa,30
53605, philippines,17
53614, portugal,30
53628, france,22
53841, usa,26
54193, usa,27
54206, usa,24
54218, germany,27
54374, canada,24
54622, malaysia,24
54652, usa,30
54731, switzerland,28
54817, united kingdom,25
54911, usa,17
55178, usa,25
55242, canada,30
55375, canada,18
55490, usa,25
55518, usa,18
55826,Global,24
55858, canada,28
55927, usa,17
56271, united kingdom,22
56272, canada,19
56447, usa,22
56470, germany,30
56625, usa,26
56663, usa,22
56856, usa,23
56917, usa,2
57006, usa,30
57095, usa,18
57412, portugal,25
57449, germany,29
57599, usa,27
57726, usa,19
57935, usa,19
57960,Global,26
57999, usa,21
58067, euskal herria,26
